 0.25 	 5.80 	 6.03 	 5.33 	  ORW   	  True  
 0.50 	 3.11 	 3.63 	 3.03 	  ORW   	  True  
 1.00 	 1.76 	 2.67 	 2.04 	  ORW   	  True  
 2.00 	 1.05 	 3.44 	 2.48 	  ORW   	  True  
 4.00 	 0.73 	 3.82 	 2.55 	  ORW   	  True  
 8.00 	 0.37 	10.89 	 6.21 	  ORW   	  True  
16.00 	 1.46 	10.20 	 5.73 	  ORW   	  True  
 0.25 	 5.63 	 6.23 	 5.77 	  CTP   	  True  
 0.50 	 3.12 	 5.52 	 3.69 	  CTP   	  True  
 1.00 	 3.13 	 4.40 	 3.50 	  CTP   	  True  
 2.00 	 1.44 	 7.52 	 3.74 	  CTP   	  True  
 4.00 	 1.48 	10.41 	 6.07 	  CTP   	  True  
 8.00 	 2.30 	20.52 	10.42 	  CTP   	  True  
16.00 	 6.08 	26.47 	16.66 	  CTP   	  True  
